drug	gene	diplotype	phenotype	effect	recommendation
sertraline	CYP2B6	*22/*22	UM	У лиц с нормальным метаболизмом CYP2B6 наблюдается усиление метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы.
sertraline	CYP2B6	*4/*22	UM	У лиц с нормальным метаболизмом CYP2B6 наблюдается усиление метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы.
sertraline	CYP2B6	*1/*4	RM	Незначительное увеличение метаболизма сертралина до менее активных соединений по сравнению с нормальными метаболизаторами CYP2B6.	Начинайте терапию с рекомендованной начальной дозы.
sertraline	CYP2B6	*1/*22	RM	Незначительное увеличение метаболизма сертралина до менее активных соединений по сравнению с нормальными метаболизаторами CYP2B6.	Начинайте терапию с рекомендованной начальной дозы.
sertraline	CYP2B6	*1/*1	NM	Нормальный метаболизм сертралина с образованием менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы.
sertraline	CYP2B6	*1/*6	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*1/*18	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*4/*6	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*4/*18	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*6/*22	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*18/*22	IM	У лиц с нормальным метаболизмом CYP2B6 наблюдается снижение метаболизма сертралина до менее активных соединений.	Начинайте терапию с рекомендованной начальной дозы. Рассмотрите возможность более медленного титрования и более низкой поддерживающей дозы, чем у пациентов с нормальным метаболизмом CYP2B6.
sertraline	CYP2B6	*6/*6	PM	У лиц с нормальным метаболизмом CYP2B6 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и уменьшения стандартной поддерживающей дозы на 25% по сравнению с лицами с нормальным метаболизмом CYP2B6, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2B6.
sertraline	CYP2B6	*18/*18	PM	У лиц с нормальным метаболизмом CYP2B6 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и уменьшения стандартной поддерживающей дозы на 25% по сравнению с лицами с нормальным метаболизмом CYP2B6, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2B6.
sertraline	CYP2B6	*6/*18	PM	У лиц с нормальным метаболизмом CYP2B6 наблюдается значительно замедленный метаболизм сертралина до менее активных соединений. Более высокие концентрации в плазме могут увеличить вероятность побочных эффектов.	Рассмотрите возможность снижения начальной дозы, более медленного режима титрования и уменьшения стандартной поддерживающей дозы на 25% по сравнению с лицами с нормальным метаболизмом CYP2B6, или выберите клинически подходящий альтернативный антидепрессант, который не преимущественно метаболизируется CYP2B6.
rosuvastatin	SLCO1B1	*1/*1	NM	Риск развития миопатии и воздействие статинов	Начинайте терапию с рекомендованной начальной дозы, корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания
rosuvastatin	SLCO1B1	*1/*14	NM	Риск развития миопатии и воздействие статинов	Начинайте терапию с рекомендованной начальной дозы, корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания
rosuvastatin	SLCO1B1	*14/*14	RM	Риск развития миопатии и воздействие статинов	Начинайте терапию с рекомендованной начальной дозы, корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания
rosuvastatin	SLCO1B1	*1/*5	IM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с желаемой начальной дозы, учитывайте риск развития миопатии, особенно при дозах ≤20 мг
rosuvastatin	SLCO1B1	*1/*15	IM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с желаемой начальной дозы, учитывайте риск развития миопатии, особенно при дозах ≤20 мг
rosuvastatin	SLCO1B1	*1/*5	IM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с желаемой начальной дозы, учитывайте риск развития миопатии, особенно при дозах ≤20 мг
rosuvastatin	SLCO1B1	*1/*15	IM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с желаемой начальной дозы, учитывайте риск развития миопатии, особенно при дозах ≤20 мг
rosuvastatin	SLCO1B1	*5/*43	IM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с желаемой начальной дозы, учитывайте риск развития миопатии, особенно при дозах ≤20 мг
rosuvastatin	SLCO1B1	*5/*5	PM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с дозы ≤20 мг; если для достижения желаемой эффективности требуется доза >20 мг, рассмотрите комбинированную терапию (т.е. розувастатин плюс медикаментозная терапия, не являющаяся статинами
rosuvastatin	SLCO1B1	*5/*15	PM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с дозы ≤20 мг; если для достижения желаемой эффективности требуется доза >20 мг, рассмотрите комбинированную терапию (т.е. розувастатин плюс медикаментозная терапия, не являющаяся статинами
rosuvastatin	SLCO1B1	*15/*15	PM	Повышенная концентрация розувастатина по сравнению с нормальной функцией; типичный риск развития миопатии при дозах ≤20 мг	Начните терапию с дозы ≤20 мг; если для достижения желаемой эффективности требуется доза >20 мг, рассмотрите комбинированную терапию (т.е. розувастатин плюс медикаментозная терапия, не являющаяся статинами
clopidogrel	CYP2C19	*17/*17	UM	Повышенное образование активного метаболита клопидогрела; снижение реактивности тромбоцитов на фоне лечения; отсутствие связи с повышенным риском кровотечения.	При рассмотрении вопроса о применении клопидогрела, используйте его в стандартной дозировке (75 мг/день).
clopidogrel	CYP2C19	*1/*17	RM	Нормальное или повышенное образование активных метаболитов клопидогрела; нормальная или пониженная реактивность тромбоцитов на фоне лечения; отсутствие связи с повышенным риском кровотечения.	При рассмотрении вопроса о применении клопидогрела, используйте его в стандартной дозировке (75 мг/день).
clopidogrel	CYP2C19	*1/*1	NM	Нормальное образование активных метаболитов клопидогрела; нормальная реактивность тромбоцитов на фоне лечения.	При рассмотрении вопроса о применении клопидогрела, используйте его в стандартной дозировке (75 мг/день).
clopidogrel	CYP2C19	*1/*9	IM	Снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*9/*17	IM	Снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*9/*9	IM	Снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*1/*2	IM	нижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*1/*3	IM	нижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*2/*17	IM	нижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*3/*17	IM	нижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте приема клопидогрела в стандартной дозе (75 мг). При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозе.
clopidogrel	CYP2C19	*2/*9	PM	Значительное снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте клопидогрела. При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозировке.
clopidogrel	CYP2C19	*3/*9	PM	Значительное снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте клопидогрела. При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозировке.
clopidogrel	CYP2C19	*2/*2	PM	Значительное снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте клопидогрела. При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозировке.
clopidogrel	CYP2C19	*3/*3	PM	Значительное снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте клопидогрела. При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозировке.
clopidogrel	CYP2C19	*2/*3	PM	Значительное снижение образования активного метаболита клопидогрела; повышение реактивности тромбоцитов на фоне лечения; повышенный риск неблагоприятных сердечно-сосудистых и цереброваскулярных событий.	По возможности избегайте клопидогрела. При отсутствии противопоказаний используйте прасугрел или тикагрелор в стандартной дозировке.
simvastatin	SLCO1B1	*1/*1	NM	Риск развития миопатии и воздействие статинов	Назначьте желаемую начальную дозу и корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания.
simvastatin	SLCO1B1	*1/*14	NM	Риск развития миопатии и воздействие статинов	Назначьте желаемую начальную дозу и корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания.
simvastatin	SLCO1B1	*14/*14	RM	Риск развития миопатии и воздействие статинов	Назначьте желаемую начальную дозу и корректируйте дозы в соответствии с рекомендациями, специфичными для данного заболевания.
simvastatin	SLCO1B1	*1/*5	RM	Повышенная концентрация симвастатиновой кислоты по сравнению с нормальной функцией; повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности. Если показана терапия симвастатином, ограничьте дозу до <20 мг/день.
simvastatin	SLCO1B1	*1/*15	RM	Повышенная концентрация симвастатиновой кислоты по сравнению с нормальной функцией; повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности. Если показана терапия симвастатином, ограничьте дозу до <20 мг/день.
simvastatin	SLCO1B1	*5/*6	IM	Повышенная концентрация симвастатиновой кислоты по сравнению с нормальной функцией; повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности. Если показана терапия симвастатином, ограничьте дозу до <20 мг/день.
simvastatin	SLCO1B1	*15/*10	IM	Повышенная концентрация симвастатиновой кислоты по сравнению с нормальной функцией; повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности. Если показана терапия симвастатином, ограничьте дозу до <20 мг/день.
simvastatin	SLCO1B1	*5/*43	IM	Повышенная концентрация симвастатиновой кислоты по сравнению с нормальной функцией; повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности. Если показана терапия симвастатином, ограничьте дозу до <20 мг/день.
simvastatin	SLCO1B1	*5/*5	PM	Повышенная кислотная экспозиция симвастатина по сравнению с нормальным состоянием и сниженной функцией; значительно повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности 
simvastatin	SLCO1B1	*5/*15	PM	Повышенная кислотная экспозиция симвастатина по сравнению с нормальным состоянием и сниженной функцией; значительно повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности 
simvastatin	SLCO1B1	*15/*15	PM	Повышенная кислотная экспозиция симвастатина по сравнению с нормальным состоянием и сниженной функцией; значительно повышенный риск миопатии.	Назначьте альтернативный статин в зависимости от желаемой эффективности 
efavirenz	CYP2B6	*4/*4	UM	Более низкие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*22/*22	UM	Более низкие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*4/*22	UM	Более низкие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*1/*4	RM	Более низкие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*1/*22	RM	Более низкие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*1/*1	NM	Нормальный метаболизм	Начните лечение со стандартной дозировки
efavirenz	CYP2B6	*1/*6	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*1/*18	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*4/*6	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*4/*18	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*6/*22	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*18/*22	IM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*6/*6	PM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*18/*18	PM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию эфавирензом со сниженной дозы
efavirenz	CYP2B6	*6/*18	PM	Более высокие остаточные концентрации эфавиренза по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию эфавирензом со сниженной дозы
Voriconazole	CYP2C19	*17/*17	UM	Достижение терапевтической дозы маловероятно	Выберете альтернативный препарат, метаболизм которого не зависит от CYP2C19 (изавуконазол, липосомальный амфотерицин B и позаконазол)
Voriconazole	CYP2C19	*1/*17	RM	Достижение терапевтической дозы маловероятно	Выберете альтернативный препарат, метаболизм которого не зависит от CYP2C19 (изавуконазол, липосомальный амфотерицин B и позаконазол)
Voriconazole	CYP2C19	*1/*1	NM	Нормальный метаболизм	Начните терапию с рекоммендованной дозы
Voriconazole	CYP2C19	*1/*2	IM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом	Начните терапию с рекоммендованной дозы
Voriconazole	CYP2C19	*1/*3	IM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом	Начните терапию с рекоммендованной дозы
Voriconazole	CYP2C19	*2/*17	IM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом	Начните терапию с рекоммендованной дозы
Voriconazole	CYP2C19	*2/*2	PM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом; риск побочных эффектов	Выберете альтернативный препарат, метаболизм которого не зависит от CYP2C19 (изавуконазол, липосомальный амфотерицин B и позаконазол); если назначаете вориконазол, то начнити с дозы ниже станлартной дозировки при условии тщательного контроля приёма
Voriconazole	CYP2C19	*2/*3	PM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом; риск побочных эффектов	Выберете альтернативный препарат, метаболизм которого не зависит от CYP2C19 (изавуконазол, липосомальный амфотерицин B и позаконазол); если назначаете вориконазол, то начнити с дозы ниже станлартной дозировки при условии тщательного контроля приёма
Voriconazole	CYP2C19	*3/*3	PM	Более высокие остаточные концентрации вориконазола по сравнению с нормальным метаболизмом; риск побочных эффектов	Выберете альтернативный препарат, метаболизм которого не зависит от CYP2C19 (изавуконазол, липосомальный амфотерицин B и позаконазол); если назначаете вориконазол, то начнити с дозы ниже станлартной дозировки при условии тщательного контроля приёма
Tacrolimus	CYP3A5	*1/*1	RM	Более низкие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма	Рекомендуется увеличить стартовую дозу в 1,5-2 раза по сравнению со стандартной. При этом общая начальная доза не должна превышать 0,3 мг/кг в сутки. Дальнейшую коррекцию дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*1/*3	IM	Более низкие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма	Рекомендуется увеличить стартовую дозу в 1,5-2 раза по сравнению со стандартной. При этом общая начальная доза не должна превышать 0,3 мг/кг в сутки. Дальнейшую коррекцию дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*1/*6	IM	Более низкие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма	Рекомендуется увеличить стартовую дозу в 1,5-2 раза по сравнению со стандартной. При этом общая начальная доза не должна превышать 0,3 мг/кг в сутки. Дальнейшую коррекцию дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*1/*7	IM	Более низкие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма	Рекомендуется увеличить стартовую дозу в 1,5-2 раза по сравнению со стандартной. При этом общая начальная доза не должна превышать 0,3 мг/кг в сутки. Дальнейшую коррекцию дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*3/*3	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*6/*6	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*7/*7	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*3/*6	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*3/*7	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
Tacrolimus	CYP3A5	*6/*7	PM	Более высокие остаточные концентрации такролимуса по сравнению с лицами с нормальной скоростью метаболизма; риск развития побочных эффектов со стороны ЦНС	Начните терапию со стандартной дозы. Дальнейший подбор дозы необходимо проводить строго под контролем терапевтического лекарственного мониторинга
warfarin	CYP2C9	*2/*3	PM		
warfarin	CYP2C9	*3/*3	PM		
warfarin	CYP2C9	*1/*8	PM		
warfarin	CYP2C9	*1/*11	PM		
warfarin	CYP2C9	*8/*11	PM		
